,Heading,Date,Content
1,BJP to contest GHADC polls,"Monday, August 24, 2015","SHILLONG: In a bid to test its strength in the State the BJP has decided to field candidates for the October 12 GHADC polls.
The party had shown impressive performance in Shillong constituencies and also in parts of Jaintia Hills during the 2014 Lok Sabha elections. However, it did not field any candidate in Tura for the polls.
As part of the preparations for the GHADC polls, the election committee of the State BJP had its first sitting recently.
According to a State BJP leader, the State Election Committee has entrusted a three-member committee to explore fielding of candidates for the party in Garo Hills.
The BJP leader also indicated that the party is unlikely to put up candidates in all the 29 seats and an understanding with likeminded parties cannot be ruled out."
2,Drug users doubling up as peddlers worry police,"Monday, August 24, 2015","SHILLONG: The trend of drug users turning peddlers in parts of the city has become a worrying factor for the State Police which is making all out efforts to contain the menace.
The worry is that a drug user himself is turning out to be a supplier so that he can earn more money and sustain himself to carry on with his addiction, Shillong City SP Vivek Syiem told reporters recently.
Other factors which are worrisome are the growing instances of use of drugs by minors including girls, he said.
With lack of parental care and support, easy availability of money and temptation from likeminded groups, there is a rise in the number of drug users among students, both boys and girls in the State, police admit.
The East Khasi Hills Police is trying its best to tackle the menace which has become a bigger threat than militancy and spread of HIV.
“There is an overall degeneration of values which result in the current trend of drug abuse, Syiem said.
Sources said that the major reason for the youths to go astray is the frustration due to the loss of family values and the fall out of the current political and social system.
“The parents have no time to spend with their wards which result in children withdrawing from the parental care and finding solace in drugs and other forms of addictions as escape routes,” Syiem said.
According to police, there is a need to check the trend of users of drugs becoming suppliers of contraband items.
It will be a hard task for the police to find out the source of supply of drugs as there is a varied chain leading to neighboring countries.
Police are trying to find out the source of narcotics which, however, ultimately needs the support of neighbouring states and countries.
The danger is that first time users can fall prey to the addiction which in the long run will be difficult to overcome.
“A person who takes drugs for the first time does not know that gradually he will become a drug addict and several instances of first-timers prove that they become addicts within a short period of time,” Syiem added.
According to police, affluent cities are falling prey to drugs abuse which can be controlled by concerted efforts of the parents of those who are addicted to drugs and the law enforcers."
3,Tetelia-Byrnihat rail project work drops off pace,"Monday, August 24, 2015","SHILLONG: Work for the Tetelia-Byrnihat railway project has slowed down due to the ongoing monsoon season and is likely gain pace only by November.
Officials from the Northeast Frontier Railways said that the earth cutting work has been stopped in view of the monsoon and currently work is going on in the bridges.
Even though the NFR has targeted to finish the Tetelia-Byrnihat project by March 2017 an official informed that land for the project is yet to be made available.
“We are not getting possession of land in both Assam and Meghalaya. As of now land has been made available only in bits and pieces,” the official said.
However, according to the official the district administration of Ri Bhoi has assured to provide all possible assistance in early handing over of land to the NFR.
The 21.5-km Tetelia-Byrnihat rail is being constructed at an estimated project cost of Rs 385.2 crore. Out of the total 21.5 km, only 2.5 km of the railway track will be in Meghalaya.
On the other hand, the Byrnihat-Shillong railway project may soon see the light of the day as land survey till Lailad, a village around 30 kms from Byrnihat, has been completed and the NFR would soon submit its estimate to the State Government for land acquisition.
It may be mentioned that the railways is targeting to connect all the eight states in India’s North East by 2020 as part of the ‘Mission 2020′ which will be implemented strictly within the stipulated timeframe.
However, pressure groups in Meghalaya are opposed to the idea of introducing railway in the state fearing that it would promote influx of illegal migrants.Only the Garo Hills region of the State falls on country’s railway map thanks to the Dudhnoi-Mendipathar line which was inaugurated last year."
4,Shillong does not figure in Centre’s 50 solar cities list,"Monday, August 24, 2015","New Delhi: The Ministry of New and Renewable Energy has approved a proposed master plan to develop 50 solar cities, including three in the national capital region.
Though several Northeastern cities have made it to the proposed list, Meghalaya capital Shillong has missed out. As per the website of Ministry of New and Renewable energy, Meghalaya does not figure in the list of solar cities to be developed by the Centre
Of the 50 cities, master plans have been prepared for 46 cities, including Aizawl, Imphal, Agartala, Kohima, Dimapur, Guwahati, Jorhat, Itanagar, Agra, Gandhinagar, Rajkot, Surat, Thane, Mysore, Shimla, Hamirpur, Jodhpur, Vijayawada, Ludhiana, Amritsar, Dehradun, Panaji and New Delhi (NDMC area).
Further, in-principle approvals have been given to five cities namely Thiruvananthapuram, Jaipur, Indore, Leh and Mahbubnagar, it said.
“Master plan of Indore has been prepared and the other corporations/state nodal agencies are in the process of engaging consultants for preparation of master plans,” the ministry said. (Agencies)"
5,Mawthadraishan farmers demand relief package,"Monday, August 24, 2015","NONGSTOIN: Farmers under the Mawthadraishan Block of West Khasi Hills have demanded the State Government to release funds for relief and rehabilitation of those affected by heavy rain and hailstorm in the area.
The cyclone and hailstorm that hit the area in March and April caused great loss to crops and property in West Khasi Hills.
The farmers also accused the government of not taking their plight seriously even as “the sitting MLAs from the area were busy trying to score political points”.
The farmers also alleged that the government was yet to sanction adequate funds for their relief and rehabilitation.
“Even though the authorities are fully aware of our situation, adequate relief has not been given to the affected people”, said N. Syiemiong, a local farmer who had to incur huge losses as his crops were destroyed by the hailstorm in March.
“Economically backward villagers have not been able to repair their damaged houses till today for want of relief,” he added.
According to the farmers, the District Disaster Management Cell was yet to receive any funds to be provided as relief to the affected people."
6,Police conducting awareness programmes to tackle cyber crime,"Monday, August 24, 2015","SHILLONG: Social networking sites such as Facebook and Twitter have become part and parcel of the youths’ lives today. The sites especially Facebook, however, has also become a tool for cyber criminals to dupe many.
To tackle the problem of youths getting robbed in such forums, the Shillong Police has been conducting awareness programmes with special focus on girls in schools and colleges.
Police have registered a number of  cases in which miscreants befriended girls and later duped them.
“To deal with the problem police are conducting awareness programmes in schools and college with special focus on girls since most of the victims were females,” sources said.
The cyber frauds target women who are active on the social networking site Facebook.
The criminals first create a fake Facebook account and befriend women users following which they acquire their personal details like date of birth etc.
Later, the fraud informs the victim that he would be sending gifts in a parcel including some foreign currency.
Usually around three days later, the targeted victim receives a phone call from an unknown person who identifies himself as a Customs official and informs that the supposed parcel sent by the Facebook friend has been confiscated. The victim is then asked to pay a hefty fine or face arrest.
Fearing the worst, the victim immediately deposits the money sought for as fine in a bank account provided by the caller without verifying the same from either the Customs department or the Police."
7,Headmen’s body sets VAB deadline for Governor,"Sunday, August 23, 2015",Synjuk Ki Rangbah Shnong (SKRS) president Dr Werlok Kharshiing speaks at the meeting of SKNSBH in city on Saturday. (ST)
8,"Land allotted, yet construction of Assembly in limbo","Sunday, August 23, 2015","SHILLONG:  Other than allocating 80 acres of land at Mawdiangdiang under New Shillong Township by the Urban Affairs department early part of this year, nothing has moved ever since as far as the construction of the new Assembly building is concerned.
It has been more than  14 years  since the  heritage Assembly building at Police Bazar was gutted in a fire on January 9, 2001, but till date  the legislative Assembly of the state functions  from the temporary premises at Rilbong.
Sources said that fund constrains have added to the delay in starting the constriction of the new Assembly.
When contacted, the Commissioner and Secretary, Meghalaya Legislative Assembly, Andrew Symons said on Wednesday that land had been officially handed over to the Assembly and  now other estimates such as Detailed Project Report have to be prepared by the Government.
He also said that the High Powered Committee met in the past and discussed all the issues pertaining to the construction of the Assembly.
Though several plans to construct the assembly site in different locations of the city were made, ultimately such plans could not be materialized due to one problem or another.
While site for the new Assembly building has been identified at New Shillong Township,  there is no word on when the construction will begin.
After considering several sites in the city for the construction of the Assembly building, the State government had zeroed in on the NST at Mawdiangdiang in order to avoid further congestion in Shillong
Earlier, the Government had mulled the idea of constructing the new Assembly at Upper Shillong for which even the foundation stone was laid but again the plan was cancelled.
Later, there was a decision to construct the House at Tara Ghar, which had evoked stiff opposition from pressure groups citing destruction to greenery and heritage building. The plan to construct the House at Tara Ghar was finally shelved tanks to the intervention of the Meghalaya High Court  following a PIL."
9,NPP open to pre-poll tie-up,"Sunday, August 23, 2015",GHADC polls
10,CCTV camera missing,"Sunday, August 23, 2015","SHILLONG: A CCTV camera went missing from Printing and Stationery located at the Secretariat Hill.   SR. Marak, Director, Printing & Stationery,  lodged a complaint that on August 16 at around 8.30 am, unknown miscreants stole one CCTV camera from the office premises at Secretariat Hill, Shillong."
