"","Heading","Date","Content"
"1","Protest Demanding Arrest of Army Personnel Accused of Rape","August 13","A large number of activists, students and Northeast people protested on Wednesday in front of Assam Bhawan in New Delhi under the banner of North-East Forum for International Solidarity (NEFIS) condemning the alleged gang rape of a pregnant woman by the army personnel in Assam’s Kokrajhar district on Sunday night. NEFIS demanded immediate arrest of the accused army personnel. A press release from NEFIS informed that eminent activist Maya John of Centre for Struggling Women too joined the protest and pointed out the role of AFSPA (Armed Forces Special Powers Act) in granting impunity to the armed forces personnel, “who have been abusing the people of North-East.” She pointed out that women are the most vulnerable victims, facing brutal exploitation such as rape. The release noted that AFSPA (Armed Forces Special Powers Act) is imposed in various districts of Assam under which Army officers have legal immunity for their actions. “There are serious chances of putting even this rape case under the carpet as done earlier,” it expressed. “Police cannot take any action against the perpetrators unless the Home Ministry gives permission for the same.” It asserted that such provisions clearly stand against common masses. NEFIS also warned that it will take the issue further in the coming days if the government does not immediately arrest the perpetrators and take action against them."
"2","Bicycle Bomb Alert in Assam","August 13","Security agencies in Assam have been put on maximum alert following inputs suggesting that militants, particularly those belonging to the UILFA-I, may use petty criminals or linkmen to explode bombs concealed in bicycles ahead of Independence Day. “Intelligence inputs indicate that militant outfits, particularly the anti-talk faction of ULFA, is likely to plant IEDs in bicycles for causing explosion,” a WT message circulated by the Assam Police headquarters to all police stations said. “They are likely to outsource (the work to) petty criminals,” it added. “There have been instances of using cycles and vehicles to plant IEDs in busy areas in the past too,” Director General of Police Khagen Sarma said. He said that besides the anti-talk faction of Ulfa and the National Democratic Front of Bodoland (NDFB), there were reports of Islamists also trying to carry out disruptive activities ahead of August 15. “We have observed movements of Lashkar-e-Toiba and Jamaat-ul Mujahiddin ultras besides Ulfa and NDFB. Though the Islamic groups have not indulged in any sabotage in the State so far, there are some boys from the State who had received training under them,” Sarma said. ADGP (special branch) Pallab Bhattacharyya said the threat has been there since quite some time. “There was an input from central agencies that some ISI-backed groups organized a meeting in Bangladesh recently following which cadres were pushed inside India. This coupled with sightings of a man – who had reportedly joined the Lashkar-e-Toiba – in Assam after a gap of about ten/ fifteen years have raised apprehensions of a possible attack,” the police official said, asking people to be alert. Assam CM Tarun Gogoi, who chaired a security review meeting today, said the police machinery has been asked to be alert even after Independence Day. “Due to the beefed-up security, the militants may opt to strike a day or two after Independence Day,” he said. Guwahati DCP (traffic) Pranabjyoti Goswami said all the vehicles entering Guwahati are being frisked. “A 24*7 vigil is being maintained at the entry points of the city,” he said. A man hunt has been also launched in hotels, guest houses and other possible places of hide-outs. Like every year, militant groups in Assam have called for a boycott of the Independence Day celebrations and a general strike that day. -Tsnl"
"3","ABSU Demonstration in New Delhi for Bodoland","August 13","The All Bodo Students Union (ABSU) on Wednesday staged a three-hour demonstration at Jantar Mantar in New Delhi demanding creation of a separate Bodoland state, supported by the National Federation for New States, an umbrella forum demanding separate states in the country. The protesters raised banners and placards and shouted slogans “We want Bodoland” and “Divide Assam 50/50″. A memorandum was submitted to Prime minister Narendra Modi by various organisations, including Absu, Kuki State Demand Committee, Bharatiya Gorkha Pari-sangh, Indigenous People’s Front of Tripura, Joint Action Committee for Autonomous State, People’s Joint Action Committee for Bor-oland Movement, Joint Action Committee for Dimaraji Movement, Vidarbha Connect, and the NDFB (Progressive). The organisations stressed the need to create smaller states and urged the Centre to adopt a policy towards facilitating to create more new states. This, the protesters said, would fulfil the long-standing aspirations of the people for faster growth and development on all fronts and ensure equal status, rights and opportunities. “There should be a concrete national policy for creation of new states, specifically for the Northeast, and another policy for the rest of the country,” said Absu president Pramod Boro. The organisations urged the Centre to formulate a concrete policy to create new states for all the regions wherever such demands crop up. The memorandum said autonomous councils had not been able to address the problems of different eth-nic communities and therefore, creation of separate states was the only solution. The issue of demanding smaller states was also raised during a national seminar – Perspectives and Realisation on the Issues of Smaller States in India – held yesterday at Mavlanakar Hall of Constitution Club, New Delhi, where the agitators resolved to come together and intensify their statehood movements. “Based on the suggestions of the experts, the organisers of the seminar will launch a movement for creation of new states,” Boro said. -TT"
"4","Illegal Migration; Rajnath Singh to Visit Bangladesh Border in Assam","August 12","Union Home Minister Rajnath Singh will visit the Bangladesh border in Assam within this month to take stock of the situation arising out of illegal migration. “Within this month, after August 15 and before August 30, I will visit Assam and tour the Bangladesh border to see the situation there,” Rajnath Singh said on Tuesday at a seminar on “30 years of the Assam accord: Issues, challenges and implementation” organised by the All Assam Students’ Union (AASU). An AASU delegation will accompany the home minister on his trip to the border areas. Rajnath Singh said the government would do everything possible for the full implementation of the Assam Accord that was signed on August 15, 1985, between the Centre, the Assam government, AASU and the All Assam Gana Sangram Parishad to end a six-year-long movement in protest against illegal migration. Paying tributes to the martyrs of the Assam agitation, Rajnath Singh said: “I know about all your genuine demands and I can assure you that only Indians will stay in India. We should know what steps should be taken to protect the rights of the indigenous people without leaving any loopholes.” The home minister said discussions will be held with AASU to find out the shortcomings in the Assam Accord that are stopping its full implementation. He said work on updating the National Register of Citizens (NRC) in Assam was being done under the direct supervision of the Supreme Court. “Since I became the home minister last year, I have visited Assam as many as seven times. This is the most visits I have made to any state after my home state of Uttar Pradesh,” Rajnath Singh said, adding that the government was committed to solving all problems of Assam. Youth Affairs and Sports Minister Sarbananda Sonowal, who is also a former AASU president, said that though the accord will complete 30 years on August 15, many clauses have still not been implemented. “The main aim of the Assam Accord was to stop illegal migration and safeguard the identity of the indigenous people,” Sonowal said. “We will not stay silent and I will work for the full implementation of the accord.” Sonowal requested the home minister to take steps so that illegal migration does not take place in areas like Karimganj in the Barak Valley and Dhubri in the Brahmaputra Valley. “I request the home minister to visit the border areas with an AASU delegation so that necessary steps can be taken,” he said."
"5","Biographical Film on Anshu Jamsenpa","August 13","Carbon Creative Motion Pictures Ltd (CCMPL) has decided to make a biographical film on ace mountaineer of Arunachal Pradesh Anshu Jamsenpa, stated Director of the company Anil Kumar Siddhu in a meeting in Garware Club House Mumbai. Prof. Raja Sekhar, Utpal Bhattacharjya and Nand Kishore (Nandu) are working on the script. The format, cast, location and the scale of the proposed biopic will be finalized soon and is projected to be made in several languages simultaneously, Siddhu said. CS Challam from CCMPL further stated that their company will go all out in making the biopic a grand success and that the whole world should know both the tough and humane side of Anshu. Anshu also met actor Arjun Rampal and his wife Mehr Jesia, former Miss India in their Bandra Bungalow which was also attended by Arunachal Mountaineering and Allied Sports Association (AMASA) President Tsering Wange and Chairperson of Fountainhead Institution Meghana Musunuri. Arjun Rampal stated that he will be in Shillong in December for one month shoot of Bollywood movie Rock on 2. He also stated that he has several plans to promote film tourism in North East in general and Arunachal in particular. He also expressed his willingness to join the ‘Everest Again’ Expedition 2016 with Anshu. He stated that he had done basic rock climbing and mountaineering course during his younger days and presently runs about 10km a day as part of his physical fitness regime. Anshu’s Mumbai visit included meeting with Rajiv Bhatia, Founder of East West Interconnect. He stated that the ace mountaineer is well known not only in North East but in rest of the country and abroad. President of Cricket Club of India (CCI) Kekoo Nicholson hoisted lunch in Anshu’s honor, presented her a book ‘CCI Celebrating 75 Years’ and invited her for a motivational speech and interact with CCI members in Mumbai. -ArT"
"6","Mortal Remains of Chopper Crash Victims Retrieved","August 13","“The mutilated bodies of young IAS officer Kamlesh Joshi and two pilots of the ill-fated Pawan Hans helicopter, which went missing on August 4, were found at the crash site on Wednesday morning at around 9 am. “The bodies of occupants of the missing chopper were identified and retrieved by the troops of Assam Rifles, paratroopers and local police,” confirmed Arunachal IGP Nabin Payeng. The IGP informed that the rescue teams carrying the bodies arrived at Khonsa, around 8.30 pm on Wednesday. Changlang DC Chanchal Yadav, who has been monitoring the search and rescue operation for the last eight days, informed that the bodies will be then transported to Assam Medical College & Hospital, Dibrugarh for conducting post-mortem today. Defence sources said that specially mountain-trained troops of Army and Special Forces supported by Assam Rifles and CRPF using mountaineering equipments reached the deep gorge where the ill-fated Pawans Hans Helicopter crashed. All efforts are being made to retrieve the bodies of the pilots and the lone passenger and the operation will take a few more hours. Efforts to retrieve the bodies yesterday had to be called off due to bad weather. The wreckage of the missing chopper had been sighted in the hillside with thick canopy between Pongkong and Longliang in Tirap district by the helicopters of IAF’s Eastern Air Command after six days of intense search, on August 10. The twin-engine Dauphin VT-PHK Pawan Hans chopper carrying Tirap DC Kamlesh Joshi and two pilots, namely Captains MS Brar and Rajeev Hoskote, went missing on August 4 last after taking off from Khonsa at around 10.30 am. The chopper had lost contact with Air Traffic Control (ATC) five minutes after its departure for Mohanbari in Dibrugarh via Longding and Changlang, and disappeared in the rain-forest of Tirap. The Director General of Civil Aviation (DGCA) had ordered a preliminary inquiry into the incident, while the Pawan Hans authorities also ordered an internal inquiry. -AT"
"7","Anshu at TED conference in Mumbai","August 12","Ace mountaineer and Everester of the Arunachal Pradesh Anshu Jamsenpa attended the prestigious TED (Technology, Entertainment, Design) Conference in Mumbai on Friday, where she talked about her journey from the remote border town of Arunachal  to the top of the world besides her struggles, challenges, future plans and potentials of adventure tourism in North East India. Her audio visual presentation followed by power-packed motivational speech was very well received by the audience in the jam packed hall of Jai Hind College. Another 600 plus audience watched her live on the big screen in the adjacent auditorium who could not be accommodated in the main hall. Her talk revolved around TED Conference theme ‘ideas worth spreading’. She stated that she had earlier given motivational speeches to Indian Armed Forces and the Territorial Army Units besides schools, colleges, universities, NGOs and social organizations. Further she stated that this is her first presence in the TED Show and she is happy that it went off well. According to TED’s current Curator Chris Anderson about a million people watch TED Talks online each day. To date, the TED talks have received over 1000 million page views which is really amazing. TEDx Curator & Co-Organizer Dhruv Agarwal stated that TED Conference is a platform where the brightest minds — scientists, designers, inventors, politicians and sportspersons share their ideas. Here the change makers and the thought leaders selected from different parts of the world deliver their insights. He also stated that Anshu’s video will go live on TEDx website and youtube soon. The Mumbai edition brought together some of the India’s most fascinating thinkers and doers like Shardul Bajikar, Maj Gen KVS Lalotra (Retd),  Padma Shri Sucheta Dalal, Sailendra Singh and Anshu Jamsenpa in the same platform.  First lady IPS officer Kiren Bedi, Noble Peace Prize winner Kailash Satyarthi, Diplomat turned politician Shashi Tharoor, His Holiness The Karmapa were some of the imminent Indian speakers at the earlier TED Shows. Bill Clinton, Jane Fonda, Bill Gates, Steve Jobs, Richard Branson, Julian Assange, Sarah Jones, David Cameron, Al Gore, Kevin Rudd, Bill Ford and several others were speakers in the past TED Shows which itself speaks about the quality, grandeur and the importance of the TED Conference. -Arunachal Times"
"8","Arunachal Pradesh awarded with the Best Eco Tourism Destination","August 12","Adding yet another feather to its glorious cap, Arunachal Pradesh was awarded with the Best Eco Tourism Destination by the 9th Annual Today’s Traveller Awards, 2015, organised by Gill India Group. The glittering function took place at the magnificent Taj Palace, New Delhi, on August 11, 2015. Arunachal Pradesh, a veritable treasure house of nature, tucked away in the north eastern tip of India, invites tourists to relax in its picturesque hills and vales encircled on three sides by Bhutan, China and Myanmar. Tourists visiting the beautiful state can enjoy nature in its full splendour. In Arunachal Pradesh, snowy mist, famous monasteries, unexplored passes and tranquil lakes come together to form some of the prettiest mountain spots of the state. The award was received by Mr. Karma Leki, Director Tourism on behalf of Arunachal Pradesh Tourism. The award function also saw the attendance of other Northeastern States like Manipur and some of the scenic International countries like New Zealand and Abu Dhabi. This is not the first time that Arunachal Pradesh has been conferred with the tourism award but even in the past it has always been in the prime position of any Tourism Function. This goes as yet another pointer to the world of the unmatched beauty and hospitality of the state. The frontier Himalayan state of the nation, Arunachal Pradesh is also considered to be the second heaven on earth. From its proximity to the giant Himalayas to the greenery of its valleys, Arunachal Pradesh is the hotspot of tourist and activities round the year. The state tourism department has also been working hard in promoting it further to make it the best tourism destination not only in India but in the whole of South East Asia. This award comes at a right time as the tourists can’t seem to get enough of the state. Among various other dignitaries, the event also saw the presence of Dr Mahesh Sharma, Minister of State (I/C) for Tourism & Culture as its Chief Guest. The cover of Today’s Traveller Coffee Table Book 2015 – ‘Success Redefined,’ was also inaugurated during the occasion by the Minister of State for Civil Aviation, Government of India."
"9","Meghalaya HC Quashes Warrants Against CMJ Officials","August 13","The High Court of Meghalaya has set aside the order of arrest issued by the Chief Judicial Magistrate against the two sons of CMJ University Chancellor CM Jha, Govind Jha and Gopal Jha who are the trustee members of the University. Recently, the single bench of the High Court had set aside the dissolution order of CMJ issued by the State Government. Hearing a criminal petition, the Chief Justice Uma Nath Singh in his order on Wednesday said that there was blatant abuse of process of court on the part of the then Chief Judicial Magistrate B Joshi  in passing the orders dated 04.08.2014 and 08.09.2014 in CID case No.2(4)/2013. While the order dated 04.08.2014 refers to non-bailable warrants issued against the sons of Jha with a directions to handcuff them, the order dated  08.09.2014 relates to proclaiming them as absconders under Section 82 CrPC. by the Court of Chief Judicial Magistrate. The High Court observed that the accused including CM Jha (alleged to be the main accused), have been granted bail and there is no complaint that any of them has misused the liberty so granted. Besides, ND Chullai, senior Government Advocate, made a specific statement that in view of the fact that the charge-sheet has been filed, the petitioners (sons of Jha) were no more required to appear before the Investigating Officer. “Thus, to secure the ends of justice, these orders cannot be sustained in law and have to be quashed and set aside. Hence, I order accordingly. Consequently, all such proceedings that arise out of the orders 30 dated 04.08.2014 and 08.09.2014 alleged to be pending with the police and before the court shall also not survive any further. Inevitably, these proceedings shall terminate forthwith”, the Court said The Chief Justice further added that the petitioners, Govind and  Gopal should not be arrested or called for interrogation or subjected to any kind of pressure, harassment and fear of arrest by the police in connection with CID case. Regarding hurried action taken against the University, the Court said that on 26.04.2013, all of a sudden the Deputy Secretary to the Governor of Meghalaya, sought lots of information, particularly, with regard to the admission of students within 3 days by 29.04.2013 from the Sponsor. However, without waiting for the reply sought by the Deputy Secretary to the Governor, the  Principal Secretary to the Governor directed the Director General of Police, Meghalaya to conduct investigation into the functioning of the University and launch criminal proceedings if investigation revealed commission of criminal offence against the University. After receiving letter from the Principal Secretary to the Governor, the State CID registered the case on the same day (26.04.2013). Analyzing various aspects related to CMJ University, the High Court made it clear that the checking the cases of mismanagement, maladministration are within the domain of the State Government and not that of the Visitor who is the Governor of Meghalaya.  Section 48 (2) of the Act makes it clear that, “On identification of mismanagement, maladministration, indiscipline, failure in the accomplishment of the objectives of University and economic hardships in the management systems of University, the State Government would issue directions to the management system of the University. If the directions are not followed within such time as may be prescribed, the right to take decision for winding up of the University would vest in the State Government.” -TST"
"10","Meghalaya: Girl Rescued After Sexually Abused for over 24 Days","August 12","A minor girl of 16 years was illegally confined and forced to sleep with different men in a case that hints at human trafficking.The 16 year old girl was rescued on Monday by her family after 24 days of being waylaid and kidnapped. The accused, Jinjin D Shira (38 years), has been handed over to the police after the family set up an elaborate plan to nab Shira and rescue their daughter. “When she did not return home till late in the evening on July 17, we searched for her in the locality and informed our relatives. Left with no other option, we filed a missing report at Tura police station”, the victim’s family said. According to her own admission, the girl was lured by Jinjin who later confined her to a house in a locality on the outskirts of Tura, West Garo Hills (WGH). She was forced to drink and forced to sleep with different men every day since the ordeal started. “I was forced to drink and have sexual intercourse with multiple partners every day”, said the 16 year old after being rescued. The victim’s family later said that their daughter was taken to different localities within Tura town every day and was left alone with men, who had exploited her physically. While the family frenetically searched for their daughter, all their initial efforts came to naught. However, a breakthrough came when a person informed the family that the girl was seen with Jinjin. They then made an elaborate plan to rescue their daughter and nab her kidnapper. “We opened a fake account on Facebook pretending to be a young boy and started our conversation with Jinjin. We started our talks on whether she can provide any girls. She informed that she has a young girl and after an agreement on money, we would be allowed to spend a night with this girl”, a family member said. After a few days the ploy seemingly worked when Shira confirmed that she could bring a young girl to a locality in Tura. “We asked her to bring the girl and later rescued her on Monday evening”, victim’s father said. After being caught, Shira confessed to her crime and was later handed over to the Tura police station. The police have registered a case under section 66A, 342, 368/34 of IPC for wrongful confinement and kidnapping. The case is being handled by Tura women police cell. “We have applied the section based on the FIR which was filed earlier by the family. We will record the detailed statement of the victim and their family and apply an appropriate section”, said the Superintendent of Police (SP) of WGH, Mukesh Singh. Shira was produced in the Court on Tuesday and sent to seven days police custody. -MT"
